Internalname,Serial,EngGamename,ChiGamename
WS POCKET 2,AGB-AJKJ-JPN,Jikkyou World Soccer Pocket 2 (J),实况世界足球口袋版 2 Jikkyou World Soccer Pocket 2(JP)(Konami)
MEDALOFHONOR,AGB-AUGE-USA,Medal of Honor - Underground (U),荣誉勋章 Medal of Honor – Underground(US)(Destination Software)
STAR WARS: T,AGB-A2WP-EUR,Star Wars - The New Droid Army (E),星球大战前传-新帝国军队 Star Wars – The New Droid Army(EU)(M4)(THQ)
ZAPPER,AGB-AZPE-USA,Zapper (U),蚱蜢Zapper Zapper(US)(Infogrames)
CARRERA POWE,AGB-AEDP-EUR,Carrera Power Slide (E),动力滑行赛车 Carrera Power Slide(EU)(M6)(Stadlbauer)
ROCKMAN_EXE3,AGB-A6BJ-JPN,RockMan EXE 3 (J),洛克人战斗网络EXE 3-黄版 Battle Network Rockman EXE 3(JP)(Capcom)
WORMS BLAST,AGB-AWBP-EUR,Worms Blast (E),百战天虫 Worms Blast(EU)(M5)(Ubi Soft)
RR GO PARTY,AGB-AR5F-FRA,Les Razmoket - A Moi La Fiesta (F),"小淘气-我要参加宴会 Razmoket, Les – A moi la Fiesta(FR)(THQ)"
WWTBAM,AGB-A55F-FRA,Qui Veut Gagner Des Millions (F),谁想成为百万富翁 Qui Veut Gagner des millions(FR)(Zoo Digital)
HCPINBALL,AGB-AH6E-USA,Hardcore Pinball (U),无限弹珠台 Hardcore Pinball(UE)(Telegames)
ECKS VS SEV2,AGB-AEEP-EUR,Ballistic - Ecks vs. Sever 2 (E),艾克斯VS瑟娃-弹道专家 2 Ecks vs. Sever II – Ballistic(EU)(M5)(BAM!)
TUROK EVOL,AGB-AT4E-USA,Turok Evolution (U),恐龙猎人进化战争 Turok Evolution(US)(Acclaim)
DAVE MIRRA 3,AGB-AB3E-USA,Dave Mirra Freestyle BMX 3 (U),戴夫·米拉特技自行车3 Dave Mirra Freestyle BMX 3(UE)(Acclaim)
PBDRBYSTLON,AGB-A8PJ-JPN,Derby Stallion Advance (J),达比赛马 Derby Stallion Advance(JP)(Enterbrain)
KINNIKUMAN21,AGB-AK2J-JPN,Kinnnikuman Nisei Seigi Choujin he no Michi (J),筋肉人Ⅱ世-正义超人之道 Kinnikuman IIsei – Seigi Choujin heno Michi(JP)(Banpresto)
HPOTTER COS,AGB-A7HJ-JPN,Harry Potter to Himitsu no Heya (J),哈利·波特-消失的密室 Harry Potter to Himitsu no Heya(JP)(Electronic Arts)
SHAMAN KING3,AGB-AL3J-JPN,Shaman King Chou Senjiryokketsu 3 (J),通灵王-超·占士略决3 Shaman King Card Game – Chou Senjiryakketsu 3(JP)(King Records)
WWCC5,AGB-AWWP-EUR,Woody Woodpecker In Crazy Castle 5 (E),啄木鸟伍迪闯疯狂城堡 Woody Woodpecker in Crazy Castle 5(EU)(M3)(Kemco)
TIRETBUT    ,AGB-ATVP-EUR,Tir Et But (F),指令足球 Tir et But – Edition Champions du Monde(FR)(Titus)
M.M.4 F.CARD,AGB-AA4J-JPN,Monster Maker 4 - Flash Card (J),怪兽制造者4-闪光卡片 Monster Maker 4 – Flash Card(JP)(Activision)
M.M.4 K.DICE,AGB-AA5J-JPN,Monster Maker 4 - Kira Dice (J),怪兽制造者4-骰子杀手 Monster Maker 4 – Killer Dice(JP)(Activision)
DARIUS R,AGB-A2DJ-JPN,Darius R (J),大流士战机R Darius R(JP)(Pacific Century)
MAGINATION,AGB-A2IJ-JPN,Magi Nation (J),指轮传奇 Magi Nation(JP)(Epoch)
KLONOAHEROES,AGB-AK7J-JPN,Klonoa Heroes - Densetsu no Star Medal (J),克罗帝亚英雄们-传说的星之徽章 Klonoa Heroes – Densetsu no Star Medal(JP)(Namco)
BATTLEBOTS,AGB-ABEE-USA,BattleBots - Beyond the Battlebox (U),战斗机器-超越的战斗空间 BattleBots – Beyond the BattleBox(US)(Majesco Sales)
HAJIMENOIPPO,AGB-A2HJ-JPN,Hajime no Ippo - The Fighting (J),幕之内一步-格斗赛! Hajime no Ippo – The Fighting!(JP)(ESP)
LUNAR LEGEND,AGB-ALNE-USA,Lunar Legend (U),银河之星-露娜传奇 Lunar Legend(US)(Ubi Soft)
PINBALL TYCN,AGB-A2TE-USA,Pinball Tycoon (U),弹珠台大亨 Pinball Tycoon(US)(Asmik)
MONSTER BASS,AGB-A4BE-USA,Monster Bass Fishing (U),怪物巴斯钓鱼 Monster! Bass Fishing(US)(Asmik)
ISPY CHALNGR,AGB-A4CE-USA,I Spy Challenger (U),智力大挑战! I Spy Challenger!(US)(Knowledge Adventure)
DS_BASKET_U,AGB-A2AE-USA,Disney Sports Basketball (U),迪斯尼全明星运动系列-篮球 Disney Sports – Basketball(US)(Konami)
DS-SKATE-U,AGB-A4DE-USA,Disney Sports Skateboarding (U),迪斯尼全明星运动系列-滑板 Disney Sports – Skateboarding(US)(Konami)
DS-FOOTBALLU,AGB-A3DE-USA,Disney Sports Football (U),迪斯尼全明星运动系列-橄榄球 Disney Sports – Football(US)(Konami)
SONICADVANC2,AGB-A2NJ-JPN,Sonic Advance 2 (J),索尼克A 2 Sonic Advance 2(JP)(M6)(Sega)
SEGA RALLY,AGB-AYLJ-JPN,Sega Rally Championship (J),世嘉拉力锦标赛车 Sega Rally Championship(JP)(Sega)
DORA THE EXP,AGB-AERE-USA,Dora the Explorer - The Search for Pirate Pig's Treasure (U),探险家朵拉-寻找海盗猪的财宝 Dora the Explorer – The Search for the Pirate Pig's Treasure(US)(NewKidCo)
KARNAAJ,AGB-AYKE-USA,Karnaaj Rally (U),战斗赛车 Karnaaj Rally(UE)(Jaleco)
THE INVINCIB,AGB-AIOE-USA,The Invincible Iron Man (U),"无敌钢铁超人 Invincible Iron Man, The(US)(Activision)"
AEROMXXXXXXX,AGB-AAOJ-JPN,Acrobat Kid (J),蝙蝠小子 Acrobat Kid(JP)(Metro3D)
CHOCO VADER,AGB-AUCJ-JPN,Uchuu Daisakusen Chocovader - Uchuu kara no Shinryakusha (J),宇宙大作战-异次元的侵略者 Uchuu Daisakusen Choco Vader – Uchuu Kara no Shinryakusha(JP)(Namco)
TOKON HEAT,AGB-A59J-JPN,Toukon Heat (J),斗魂 Toukon Heat(JP)(Pacific Century)
ELEVATORACT ,AGB-ANWJ-JPN,Elevator Action - Old & New (J),电梯大作战-新版 & 旧版 Elevator Action – Old & New(JP)(Mediakite)
CHOCOBOLAND,AGB-A5BJ-JPN,Chocobo Land - Game de Dice (J),陆行鸟大陆-骰子游戏 Chocobo Land – A Game of Dice(JP)(Squaresoft)
CABELAS BGH,AGB-A8HE-USA,Cabela's Big Game Hunter (U),猎鹿人 Cabela's Big Game Hunter(US)(Activision)
S BUBBLE POP,AGB-AVZE-USA,Super Bubble Pop (U),超级立体泡泡 Super Bubble Pop(US)(Jaleco)
JAZZJACKRABB,AGB-AJJE-USA,Jazz Jackrabbit (U),吵闹的长耳大野兔 Jazz Jackrabbit(US)(Jaleco)
SEA TRADER,AGB-ALJE-USA,Sea Trader - Rise of Taipan (U),商人之海-Taipan的繁荣 Sea Trader – Rise of Taipan(US)(Jaleco)
REVENGEOFSHI,AGB-A3RP-EUR,The Revenge of Shinobi (E),"忍者的复仇 Revenge of Shinobi, The(EU)(M5)(THQ)"
HANAYA,AGB-A87J-JPN,Ohanaya-san Monogatari (J),花屋物语 Ohanaya-san Monogatari GBA – Iyashikei Ohanaya-san Ikusei Game(JP)(TDK)
DUAL BLADES,AGB-AB9J-JPN,Dual Blades (J),双刃 Dual Blades(JP)(Metro3D)
KOFEX2HOWLIN,AGB-AEXJ-JPN,The King Of Fighters EX2 - Howling Blood (J),"拳皇EX2 King of Fighters EX2, The – Howling Blood(JP)(MMV)"
WWTBAM,AGB-A55I-ITA,Chi Vuol Essere Milionario (I),谁想成为百万富翁 Chi Vuol Essere Milionario(IT)(Zoo Digital)
SAMURAI-MMV1,AGB-AOSJ-JPN,Samurai Deeper Kyo (J),鬼眼狂刀-京 Samurai Deeper Kyo(JP)(MMV)
BO_BOBO_GBA,AGB-A8VJ-JPN,Bobobohbo Bohbobo Ougi 87.5 Bakuretsu Hanage Shinken (J),爆裂鼻毛真拳 Boboboubo Boubobo – Ougi 87.5 Bakuretsu Hanage Shinken(JP)(Hudson)
TENIPURI2,AGB-AVAJ-JPN,Tennis no Ouji-sama - Aim at The Victory (J),网球王子-志在胜利! Tennis no Ouji-sama – Aim at the Victory!(JP)(Konami)
DISNEY'S TAR,AGB-AJGD-DEU,Disney's Tarzan - Ruckkehr in den Dschungel (G),泰山重返丛林 Tarzan – Ruckkehr in den Dschungel(DE)(Activision)
BAYBLADE_3D,AGB-A3EJ-JPN,Bakuten Shoot Beyblade 2002 Team Battle! Daichi Hen (J),爆转陀螺2002激斗赛-黄龙之章 Bakuten Shoot Beyblade 2002 – Gekisen! Team Battle!! Kouryuu no Shou – Daichi Hen(JP)(Hudson)
BAYBLADE_3T,AGB-A3WJ-JPN,Bakuten Shoot Beyblade 2002 Team Battle! Takao Hen (J),爆转陀螺2002激斗赛-青龙之章 Bakuten Shoot Beyblade 2002 – Gekisen! Team Battle!! Seiryuu no Shou – Takao Hen(JP)(Hudson)
HAPPYCAKE,AGB-A56J-JPN,Doki-doki Cooking Series 1 - Komugi-chan no Happy Cake (J),烹饪系列1-快乐糕点 Dokidoki Cooking Series 1 – Komugi-chan no Happy Cake(JP)(MTO)
GODZILLADOMI,AGB-AG4E-USA,Godzilla Domination (U),怪物统治! Godzilla – Domination!(US)(Infogrames)
HIGANBANA,AGB-AHZJ-JPN,Higanbana (J),彼岸花 Higanbana(JP)(Athena)
INSPECTOR GA,AGB-AIRP-EUR,Inspector Gadget Racing (E),嘎杰特赛车 Inspector Gadget Racing(EU)(M6)(LSP)
F1 2002,AGB-AF8E-USA,F1 2002 (U),F1大奖赛车2002 F1 2002(US)(Destination Software)
MEDABOTSMTBV,AGB-A8BP-EUR,Medabots - Metabee Version (E),金属机器人大战-蓝蜂版 Medabots – Metabee Version(EU)(Natsume)
K-1POCKE_GP2,AGB-A2OJ-JPN,K-1 Pocket Grand Prix 2 (J),K-1口袋格斗大奖赛2 K-1 Pocket Grand Prix 2(JP)(Konami)
KURUPARA,AGB-A9QJ-JPN,Kururin Paradise (J),滚滚棒天堂 Kururin Paradise(JP)(Nintendo)
CRASH2,AGB-AC8E-USA,Crash Bandicoot 2 N-Tranced (U),古惑狼2 Crash Bandicoot 2 – N-Tranced(US)(Vivendi)
DIEMONSTERAG,AGB-AMXD-DEU,Die Monster AG (G),"怪兽公司 Monster AG, Die(DE)(THQ)"
MOJIPITTAN,AGB-A8MJ-JPN,Kotoba no Puzzle Mojipittan Advance (J),智力拼字A Kotoba no Puzzle – Mojipittan Advance(JP)(Namco)
JUNGLEBOOK2,AGB-AJFP-EUR,Disney's The Jungle Book 2 (E),"迪斯尼-丛林之书2 Jungle Book 2, The(EU)(M6)(Ubi Soft)"
LITTLEBUSTER,AGB-ALQJ-JPN,Little Buster Q (J),小小克星巨人 Little Buster Q(JP)(Tomy)
MICRO MACHIN,AGB-AXZP-EUR,Micro Machines (E),微型小小赛车 Micro Machines(EU)(M5)(Atari)
DIGIMON BTSP,AGB-A8SE-USA,Digimon Battle Spirit (U),数码宝贝-斗魂传说 Digimon – Battle Spirit(US)(Bandai)
TAXI 3,AGB-AXQF-FRA,Taxi 3 (F),终极杀阵车3 Taxi 3(FR)(Ubi Soft)
ISS ADVANCE,AGB-AY2P-EUR,International Superstar Soccer Advance (E),国际超级明星足球赛 International Superstar Soccer Advance(EU)(Konami)
PAWAPOKE5,AGB-A5PJ-JPN,Power Pro Kun Pocket 5 (J),实况Q版口袋棒球5 Power Pro Kun Pocket 5(JP)(Konami)
ANISNOATORIE,AGB-ANSJ-JPN,"Marie, Elie & Anis No Atelier - Soyokaze Kara No Dengon (J)","炼金术士玛丽艾莉 & 安丝的工作室-风之传言 Marie, Elie & Anis no Atelier – Soyokaze Kara no Dengon(JP)(Banpresto)"
B-DASH EX,AGB-ABDJ-JPN,Boulder Dash EX (J),疯狂解迷方块之推石小子 Boulder Dash EX(JP)(Kemco)
INUYASYANARA,AGB-AIYJ-JPN,Inuyasha Naraku no Wana Mayoi no Mori no Shoutaijou (J),犬夜叉-奈落之圈套迷幻森林之请帖 Inuyasha – Naraku no Wana! Mayoi no Mori no Shoutaijou(JP)(Takara)
ELEMIX!,AGB-AEKJ-JPN,Elemix (J),艾列米克斯物语! Elemix!(JP)(Sims)
DAREDEVIL,AGB-AVLE-USA,Daredevil (U),夜魔侠 Daredevil(US)(Encore)
GT ADVANCE 3,AGB-A2GE-USA,GT Advance 3 - Pro Concept Racing (U),GTA职业概念赛车3 GT Advance 3 – Pro Concept Racing(US)(THQ)
MINIMONIAGB,AGB-AOHJ-JPN,Minimoni - Onegai Ohoshi-sama (J),迷你早安-落在山脊上的星星! Minimoni – Onegai Ohoshi-sama!(JP)(Konami)
ROCK_EXE3_BK,AGB-A3XJ-JPN,Battle Network RockMan EXE 3 Black (J),洛克人战斗网络EXE 3-黑版 Battle Network Rockman EXE 3 Black(JP)(Capcom)
FFT_ADVANCE,AGB-AFXJ-JPN,Final Fantasy Tactics Advance (J),最终幻想战略版 Final Fantasy Tactics Advance(JP)(Squaresoft)
YU-GI-OH DDM,AGB-AYDE-USA,Yu-Gi-Oh! Dungeon Dice Monsters (U),游戏王-怪兽龙门骰 Yu-Gi-Oh! Dungeon Dice Monsters(US)(M2)(Konami)
SHINING SOUL,AGB-AHUP-EUR,Shining Soul (E),光明之魂1 Shining Soul(EU)(M5)(Sega)
IK PLUS,AGB-A3KP-EUR,International Karate Plus (E),国际空手道大赛加强版 International Karate Plus(EU)(Ignition)
DEMON DRIVER,AGB-A9AP-EUR,Demon Driver (E),魔鬼赛车手! Demon Driver – Time to Burn Rubber!(EU)(Ignition)
SPR DROPZONE,AGB-AZNP-EUR,Super Dropzone (E),超級月面地帶 Archer Maclean's – Super Dropzone(EU)(Ignition)
STADIUMGAMES,AGB-A9GP-EUR,Stadium Games (E),田径游戏运动会 Stadium Games(EU)(Ignition)
HYDRA,AGB-AFHP-EUR,Strike Force Hydra (E),决战九头蛇 Strike Force Hydra(EU)(Ignition)
WORLD TENNIS,AGB-AWCP-EUR,World Tennis Stars (E),世界明星网球赛 World Tennis Stars(EU)(Ignition)
RAYMAN 3,AGB-AYZP-EUR,Rayman 3 - Hoodlum Havoc (E),雷曼3 Rayman 3(EU)(M10)(Ubi Soft)
TWO TOWERS,AGB-ALPJ-JPN,Lord of the Rings - Futatsu no Tou (J),"指环王-双塔 Lord of the Rings, The – Futatsu no Tou(JP)(Electronic Arts)"
METROID4JPN,AGB-AMTJ-JPN,Metroid - Fusion (J),银河战士1 Metroid Fusion(JP)(Nintendo)
MANGAKA,AGB-ACOJ-JPN,Manga-ka Debut Monogatari (J),漫画家物语 Manga-ka Debut Monogatari(JP)(TDK)
ALICE,AGB-AF4J-JPN,Fushigi no Kuni no Alice (J),爱丽丝梦游仙境 Fushigi no Kuni no Alice(JP)(Global A)
SPYRO,AGB-A4SJ-JPN,Spyro Advance (J),小龙斯派罗-冰冻的季节 Spyro Advance(JP)(Konami)
BUBBLEBOBBLE,AGB-AONP-EUR,Bubble Bobble - Old & New (E),泡泡龙新版 & 旧版 Bubble Bobble – Old & New(EU)(M5)(Empire Interactive)
MUGENBORG,AGB-AG6J-JPN,Mugenborg (J),梦幻伯格 Mugenborg(JP)(Konami)
GBAZELDA,AGB-AZLP-EUR,The Legend Of Zelda - A Link To The Past (E),"塞尔达传说-时空隧道 Legend of Zelda, The – A Link to the Past & Four Swords(EU)(M5)(Nintendo)"
KCEJ TP2K3R,AGB-A8RJ-JPN,Tennis no Ouji-sama 2003 Passion Red (J),网球王子2003-火红版 Tennis no Ouji-sama 2003 – Passion Red(JP)(Konami)
KCEJ TP2K3B,AGB-A9LJ-JPN,Tennis no Ouji-sama 2003 Cool Blue (J),网球王子2003-冰蓝版 Tennis no Ouji-sama 2003 – Cool Blue(JP)(Konami)
TOTALSOCCER,AGB-ATUJ-JPN,Total Soccer Advance (J),冠军足球 Total Soccer Advance(JP)(Ubi Soft)
LODE RUNNER ,AGB-A39J-JPN,Lode Runner (J),淘金人 Lode Runner(JP)(Activision)
BKM BATTLES,AGB-AUQP-EUR,Butt Ugly Martians BKM Battles (E),神勇火星人-反冲大作战 Butt-Ugly Martians – B.K.M. Battles(EU)(M5)(Vivendi)
ALLSTAR 2004,AGB-AA7E-USA,All-Star Baseball 2004 (U),全美明星棒球2004 All-Star Baseball 2004(US)(Acclaim)
PHANTASY STA,AGB-AYCP-EUR,Phantasy Star Collection (E),梦幻之星123代合集 Phantasy Star Collection(EU)(THQ)
WINGS,AGB-AWQE-USA,Wings (U),长空之翼 Wings(US)(Metro3D)
MIRUMODEPON!,AGB-AWKJ-JPN,Wagamama Fairy Mirumo de Pon Ougon Maracas no Densetsu (J),任性妖精Mirumo-黄金响葫芦的传说 Wagamama Fairy Mirumo de Pon! – Ougon Maracas no Densetsu(JP)(Konami)
ZAPPER,AGB-AZPP-EUR,Zapper (E),蚱蜢zapper Zapper(EU)(M5)(Infogrames)
VIRTUA TENNI,AGB-AVTP-EUR,Virtua Tennis (E),虚拟网球 Virtua Tennis(EU)(M5)(Sega)
TOW SUMMLINE,AGB-A9PJ-JPN,Tales of the World - Summoner's Lineage (J),世界传说-召唤者之血统 Tales of the World – Summoner's Lineage(JP)(Namco)
TOCA,AGB-ATQP-EUR,TOCA World Touring Cars (E),托卡世界环游赛车 TOCA World Touring Cars(EU)(Ubi Soft)
AGB-P-A52J,AGB-A52J-JPN,Eitangohen - 2000 Words (J),高校受验加强系列-英语单词篇-2000字-红版 Koukou Juken Advance Series Eitango Hen – 2000 Words Shuuroku(JP)(KeyNet)
POKEMON SAPP,AGB-AXPE-USA,Pokemon Sapphire (U),口袋妖怪蓝宝石 Pokemon – Sapphire Version(US)(Nintendo)
STREET FIGHT,AGB-AZUE-USA,Street Fighter Alpha 3 (U),少年街霸A3 Street Fighter Alpha 3 Upper(US)(Capcom)
GBAZELDA,AGB-AZLJ-JPN,Zelda no Densetsu (J),赛尔达传说-众神之三角力量和四支剑 Zelda no Densetsu – Kamigami no Triforce & 4tsu no Tsurugi(JP)(Nintendo)
TOM AND JERR,AGB-AIFE-USA,Tom and Jerry - Infurnal Escape (U),汤姆和杰利-逃出地狱 Tom and Jerry in Infurnal Escape(US)(NewKidCo)
MEGAMAN&BASS,AGB-A6ME-USA,MegaMan & Bass (U),洛克人 & 佛鲁迪 Megaman & Bass(US)(Capcom)
SEGA RALLY,AGB-AYLE-USA,Sega Rally Championship (U),世嘉拉力锦标赛车 Sega Rally Championship(US)(Sega)
DEFENDER,AGB-A2FP-EUR,Defender (E),防御者 Defender(EU)(M5)(Midway)
CRASH2,AGB-AC8P-EUR,Crash Bandicoot 2 N-Tranced (E),古惑狼2 Crash Bandicoot 2 – N-Tranced(EU)(M6)(Vivendi)
SONICADVANC2,AGB-A2NE-USA,Sonic Advance 2 (U),索尼克2 Sonic Advance 2(US)(M6)(THQ)
POKEMON RUBY,AGB-AXVE-USA,Pokemon Ruby (U),口袋妖怪红宝石 Pokemon – Ruby Version(US)(Nintendo)
YUGIOU DM8,AGB-AY8J-JPN,Yu-Gi-Oh! Duel Monsters 8 (J),游戏王8-破灭之大邪神 Yu-Gi-Oh! Duel Monsters 8 – Hametsu no Daijashin(JP)(Konami)
MADEINWARIO,AGB-AZWJ-JPN,Made in Wario (J),瓦里奥制造 Made in Wario(JP)(Nintendo)
NIGHTFIRE,AGB-A7OE-USA,James Bond 007 - Nightfire (U),占士邦007-夜火 007 – NightFire(UE)(M3)(Electronic Arts)
BRATZ,AGB-A2RE-USA,Bratz (U),跳舞机 Bratz(US)(M3)(Ubi Soft)
MUPPETS SHOW,AGB-AZME-USA,Muppets - On With The Show (U),"芝麻街-演出开始啦! Muppets, The – On With the Show!(UE)(M6)(TDK)"
PIGLET'SGAME,AGB-A9NE-USA,Disney's Piglet's Big Game (U),小猪大游戏 Piglet's Big Game(US)(Ubi Soft)
THE LOST VIK,AGB-ALVP-EUR,The Lost Vikings (E),"失落的维京人 Lost Vikings, The(EU)(M4)(Vivendi)"
DR. MUTO,AGB-A6TP-EUR,Dr. Muto (E),疯狂博士 Dr. Muto(EU)(M5)(Midway)
SONIC ADVANC,AGB-A2NP-EUR,Sonic Advance 2 (E),索尼克 2 Sonic Advance 2(EU)(M6)(Sega)
SAMURAIJACK,AGB-AJTE-USA,Samurai Jack - The Amulet of Time (U),日本武士杰克-时间之护身符 Samurai Jack – The Amulet of Time(UE)(BAM!)
SLUGFEST2K4,AGB-A5ME-USA,MLB SlugFest 20-04 (U),美国职棒大联盟2004 MLB SlugFest 20-04(US)(Midway)
ONEPIECEKING,AGB-AUSJ-JPN,One Piece - Mezase! King of Paris (J),海贼王-目标赏金之王 From TV Animation One Piece – Mezase! King of Berry(JP)(Banpresto)
DAREDEVIL,AGB-AVLD-DEU,Daredevil (G),夜魔侠 Daredevil(DE)(THQ)
BRUCE LEE,AGB-ALEP-EUR,Bruce Lee - Return of the Legend (E),李小龙-传说中的英雄再现 Bruce Lee – Return of the Legend(EU)(M5)(Vivendi)
ANIMAL SNAP ,AGB-AAQP-EUR,Animal Snap - Rescue Them 2 By 2 (E),动物方块-拯救它们 Animal Snap – Rescue Them 2 By 2(EU)(Ignition)
UBG,AGB-ABUE-USA,Ultimate Brain Games (U),终极智力游戏 Ultimate Brain Games(UE)(Telegames)
SISTERP-MMV1,AGB-A4PJ-JPN,Sister Princess Re Pure (J),妹妹公主 Sister Princess – RePure(JP)(MMV)
CASTLEWEEN,AGB-AWNP-EUR,Castleween (E),古堡幽灵 Castleween(EU)(M5)(Wanadoo)
SUPERMAN CTA,AGB-ASUE-USA,Superman - Countdown to Apokolips (U),超人-回到地球 Superman – Countdown to Apokolips(US)(Atari)
PUZZLEFIGHT2,AGB-AZ8P-EUR,Super Puzzle Fighter II (E),超级街霸对战方块2 Super Puzzle Fighter II Turbo(EU)(Capcom)
SHIMURA_KEN,AGB-A64J-JPN,Shimura Ken no Bakatonosama (J),志村健之白痴殿下-爆笑天下统一游戏 Shimura Ken no Baka Tonosama – Bakushou Tenka Touitsu Game(JP)(TDK)
INUKKO-CLUB,AGB-AI9J-JPN,Inukko Club Fukumaru no Bouken (J),小狗俱乐部-福丸之大冒险 Inukko Club(JP)(Jordan)
DQM-CARAVANH,AGB-A9HJ-JPN,Dragon Quest Monsters - Caravan Heart (J),勇者斗恶龙怪物篇3-旅团之心 Dragon Quest Monsters – Caravan Heart(JP)(Enix)
JIMMY2GER,AGB-AJXD-DEU,Jimmy Neutron vs. Jimmy Negatron (G),天才男孩吉米中子VS吉米负电子 Jimmy Neutron vs. Jimmy Negatron(DE)(THQ)
GREMLINS STR,AGB-AGGP-EUR,Gremlins - Stripe vs Gizmo (E),魔怪小精灵 Gremlins – Stripe vs. Gizmo(EU)(M6)(Wanadoo)
DDS_1,AGB-AAUJ-JPN,Shin Megami Tensei (J),真女神转生 Shin Megami Tensei(JP)(Atlus)
WWTBAM,AGB-A55S-ESP,Quiere ser Millionario (S),谁想成为百万富翁 Quiere ser Millonario(ES)(Zoo Digital)
DRIVER2ADV,AGB-ADUE-USA,Driver 2 Advance (U),横冲直撞车2 Driver 2 Advance(US)(Atari)
ED EDD EDDY,AGB-AE3E-USA,"Ed, Edd n Eddy - Jawbreakers! (U)","Ed Edd 和 Eddy-唠叨的家伙们! Ed, Edd n Eddy – Jawbreakers!(US)(BAM!)"
SUPER MONKEY,AGB-ALUP-EUR,Super Monkey Ball Jr. (E),超级猴子球 Super Monkey Ball Jr.(EU)(M5)(Sega)
SANTA,AGB-AUZE-USA,Santa Claus Saves the Earth (E),圣诞老人救地球 Santa Claus Saves the Earth(UE)(Telegames)
MEDABOTSRKSV,AGB-A9BP-EUR,Medabots - Rokusho Version (E),金属机器人大战-六书版 Medabots – Rokusho Versio(EU)(Natsume)
GOLDEN_SUN_B,AGB-AGFE-USA,Golden Sun 2 - The Lost Age (U),黄金太阳2-失落的时代 Golden Sun – The Lost Age(UE)(Nintendo)
NINJA COP   ,AGB-ANXP-EUR,Ninja Cop (E),忍者刑警 Ninja Cop(EU)(Konami)
DISNEY PRINC,AGB-AQPE-USA,Disney Princess (U),迪斯尼公主 Disney Princess(US)(THQ)
BOMBERMAN MA,AGB-AMHP-EUR,Bomberman Max 2 Blue (E),炸弹人马克思2-蓝版 Bomberman Max 2 – Blue Advance(EU)(M3)(Vivendi)
BMAX2-RED,AGB-AMYP-EUR,Bomberman Max 2 Red (E),炸弹人马克思2-红版 Bomberman Max 2 – Red Advance(EU)(M3)(Vivendi)
WHISTLE!,AGB-A73J-JPN,Whistle (J),哨声响起 Whistle! – Dai 37 Kai Tokyo-to Chuugakkou Sougou Taiiku Soccer Taikai(JP)(Konami)
AOZORA,AGB-AAZJ-JPN,Aozoora to Nakamatachi - Yume no Bouken (J),梦之冒险 Ao-Zoura to Nakamatachi – Yume no Bouken(JP)(MTO)
HAMUTARO3,AGB-AH3E-USA,Hamtaro - Ham-Ham Heartbreak (U),哈姆太郎3-恋爱大冒险 Hamtaro – Ham-Ham Heartbreak(US)(Nintendo)
CRAZY TAXI C,AGB-A3CE-USA,Crazy Taxi - Catch a Ride (U),疯狂出租车 Crazy Taxi – Catch a Ride(US)(THQ)
DAREDEVIL,AGB-AVLX-EUU,Daredevil (E),夜魔侠 Daredevil(EU)(M4)(THQ)
FREESTYLE SC,AGB-ARFP-EUR,Freestyle Scooter (E),极限时髦滑板车 Freestyle Scooter(EU)(Crave Entertainment)
MORTAL KOMBA,AGB-AM5P-EUR,Mortal Kombat Advance (E),真人快打 Mortal Kombat Advance(EU)(Midway)
DANCINGSWORD,AGB-A9SJ-JPN,Dancing Sword (J),舞之刃 Dancing Sword – Senkou(JP)(MTO)
LOSTVIKINGS,AGB-ALVE-USA,The Lost Vikings (U),"失落的维京人 Lost Vikings, The(US)(Vivendi)"
YUGIOHWWE,AGB-AYWP-EUR,Yu-Gi-Oh! Worldwide Edition (E),游戏王6-国际版 Yu-Gi-Oh! Worldwide Edition – Stairway to the Destined Duel(EU)(M6)(Konami)
X2 WOLVERINE,AGB-AWVE-USA,X-Men 2 - Wolverines Revenge (U),X战警2-狼人之复仇 X2 – Wolverine's Revenge(UE)(Activision)
BOKUMONOGBA,AGB-A4NJ-JPN,Bokujou Monogatari - Mineral Town no Nakama Tachi (J),牧场物语-矿石镇的朋友们 Bokujou Monogatari – Mineral Town no Nakamatachi(JP)(Victor)
ESPN FISHNG3,AGB-AMGJ-JPN,Exciting Bass (J),刺激钓鱼 Exciting Bass(JP)(Konami)
PINK PANTHER,AGB-APEE-USA,Pink Panther Pinkadelic Pursuit (U),粉红傻豹大追捕 Pink Panther – Pinkadelic Pursuit(US)(Dreamcatcher)
GBA_SENGOKU1,AGB-A7GJ-JPN,Sengoku Kakumei Gaiden (J),战国革命外传 Sengoku Kakumei Gaiden(JP)(Konami)
MEDACOREKBT,AGB-A5KJ-JPN,Medarot 2 Core Kabuto Version (J),金属机械器人2 -甲冑版 Medarot Ni Core – Kabuto Version(JP)(Natsume)
MCRAE RALLY2,AGB-ACME-USA,Colin McRae Rally 2 (U),越野拉力赛车2 Colin McRae Rally 2.0(US)(M3)(Ubi Soft)
SLOT!PRO2,AGB-ATBJ-JPN,SLOT!PRO 2 Advance GoGo Juggler (J),专业柏青嫂游戏2 -走开骗子 Slot! Pro 2 Advance – GoGo Juggler & New Tairyou(JP)(Telenet)
SYLVANIA4,AGB-A4LJ-JPN,Sylvania Family 4 (J),森林之家4 Sylvanian Families 4 – Meguru Kisetsu no Tapestry(JP)(Epoch)
